rank,firstname,middlename,lastname,qualifier,badgeno,salarygrade,plantilla,division,detail,designation,address,gender,contactnumber,birthday,dateofentry,enterinofficerpositiondate,status
P/BGEN,Jose,Reyes,Santos,,101001,30,P-001,Office of the Director,,Director,Quezon City,Male,09171234567,1970-03-15,1994-06-01,2020-01-15,Active
P/COL,Maria,Dela Cruz,Reyes,,101002,29,P-002,Operations Division,,Chief Operations Officer,Makati City,Female,09182345678,1972-07-20,1996-08-15,2018-03-10,Active
P/LCOL,Antonio,Bautista,Garcia,,101003,28,P-003,Intelligence Division,,Division Chief,Pasig City,Male,09193456789,1975-11-05,1998-02-20,2019-07-01,Active
P/MAJ,Lourdes,Villanueva,Torres,,101004,27,P-004,Administrative Division,,Division Chief,Mandaluyong City,Female,09204567890,1978-04-12,2000-05-10,2021-09-15,Active
P/MAJ,Roberto,Mendoza,Flores,,101005,27,P-005,Logistics Division,,Division Chief,Taguig City,Male,09215678901,1977-09-28,1999-11-01,2022-01-20,Active
P/CAPT,Analiza,Ramos,Cruz,,101006,26,P-006,Operations Division,,Section Chief,Pasay City,Female,09226789012,1980-06-17,2002-03-15,2023-04-05,Active
P/CAPT,Eduardo,Castillo,Morales,,101007,26,P-007,Intelligence Division,,Section Chief,Caloocan City,Male,09237890123,1981-01-30,2003-07-20,2023-08-12,Active
P/LT,Rosario,Fernandez,Navarro,,101008,25,P-008,Administrative Division,,Section Chief,Las Piñas City,Female,09248901234,1983-08-22,2005-04-10,2024-02-28,Active
P/LT,Ferdinand,Lopez,Rivera,,101009,25,P-009,Logistics Division,,Section Chief,Muntinlupa City,Male,09259012345,1982-12-07,2004-09-05,2024-06-15,Active
P/LT,Corazon,Gonzalez,Santos,,101010,25,P-010,Operations Division,,Team Leader,Paranaque City,Female,09260123456,1984-03-19,2006-01-25,2024-10-01,Active
PEMS,Ricardo,Aquino,Reyes,,101011,20,P-011,Operations Division,,Senior Investigator,Quezon City,Male,09271234568,1979-05-11,2001-06-30,,Active
PEMS,Teresita,Pascual,Dela Cruz,,101012,20,P-012,Intelligence Division,,Senior Analyst,Marikina City,Female,09282345679,1980-10-24,2002-08-14,,Active
PEMS,Bernardo,Aguilar,Bautista,,101013,20,P-013,Administrative Division,,Senior Admin Officer,Valenzuela City,Male,09293456780,1981-07-16,2003-03-28,,Active
PEMS,Gloria,Soriano,Garcia,,101014,20,P-014,Logistics Division,,Senior Logistics Officer,Navotas City,Female,09204567891,1982-02-08,2004-11-10,,Active
PEMS,Victorino,Reyes,Torres,,101015,20,P-015,Operations Division,,Senior Investigator,Malabon City,Male,09215678902,1983-09-30,2005-06-20,,Active
PSMS,Lydia,Cruz,Flores,,101016,18,P-016,Intelligence Division,,Intelligence Officer,Quezon City,Female,09226789013,1984-04-14,2006-02-15,,Active
PSMS,Mariano,Villanueva,Morales,,101017,18,P-017,Administrative Division,,Admin Officer,Makati City,Male,09237890124,1985-11-26,2007-08-01,,Active
PSMS,Josephine,Santos,Navarro,,101018,18,P-018,Logistics Division,,Logistics Officer,Pasig City,Female,09248901235,1986-06-09,2008-04-20,,Active
PSMS,Ernesto,Ramos,Rivera,,101019,18,P-019,Operations Division,,Investigator,Mandaluyong City,Male,09259012346,1987-01-21,2009-01-10,,Active
PSMS,Felicitas,Mendoza,Santos,,101020,18,P-020,Intelligence Division,,Intelligence Officer,Taguig City,Female,09260123457,1988-08-03,2010-07-25,,Active
PCMS,Alfredo,Fernandez,Reyes,,101021,16,P-021,Administrative Division,,Admin Aide,Pasay City,Male,09271234569,1989-03-15,2011-03-05,,Active
PCMS,Natividad,Pascal,Dela Cruz,,101022,16,P-022,Logistics Division,,Logistics Aide,Caloocan City,Female,09282345670,1990-10-27,2012-09-18,,Active
PCMS,Rogelio,Aguilar,Bautista,,101023,16,P-023,Operations Division,,Field Officer,Las Piñas City,Male,09293456781,1991-05-09,2013-05-30,,Active
PCMS,Adoracion,Soriano,Garcia,,101024,16,P-024,Intelligence Division,,Desk Officer,Muntinlupa City,Female,09204567892,1992-12-21,2014-12-12,,Active
PCMS,Domingo,Cruz,Torres,,101025,16,P-025,Administrative Division,,Records Officer,Paranaque City,Male,09215678903,1993-07-03,2015-08-04,,Active
PMS,Cristina,Villanueva,Flores,,101026,14,P-026,Logistics Division,,Supply Officer,Quezon City,Female,09226789014,1994-02-14,2016-02-22,,Active
PMS,Benedicto,Ramos,Morales,,101027,14,P-027,Operations Division,,Patrol Officer,Marikina City,Male,09237890125,1995-09-26,2017-09-14,,Active
PMS,Milagros,Castillo,Navarro,,101028,14,P-028,Intelligence Division,,Research Officer,Valenzuela City,Female,09248901236,1996-04-08,2018-05-06,,Active
PMS,Patricio,Fernandez,Rivera,,101029,14,P-029,Administrative Division,,Personnel Officer,Navotas City,Male,09259012347,1997-11-20,2019-01-28,,Active
PMS,Clarita,Lopez,Santos,,101030,14,P-030,Logistics Division,,Property Custodian,Malabon City,Female,09260123458,1998-06-02,2020-08-10,,Active
PCpl,Andres,Gonzalez,Reyes,,101031,12,P-031,Operations Division,,Field Officer,Quezon City,Male,09271234570,1999-01-14,2021-03-22,,Active
PCpl,Susana,Castillo,Dela Cruz,,101032,12,P-032,Intelligence Division,,Data Encoder,Makati City,Female,09282345671,2000-08-26,2022-10-14,,Active
PCpl,Lorenzo,Morales,Bautista,,101033,12,P-033,Administrative Division,,Clerk,Pasig City,Male,09293456782,2001-03-08,2023-05-06,,Active
PCpl,Florencia,Navarro,Garcia,,101034,12,P-034,Logistics Division,,Supply Assistant,Mandaluyong City,Female,09204567893,2001-10-20,2023-11-28,,Active
